site_code,city,jhb_neighbourhood,accra_neighbourhood,nairobi_neighbourhood,age_group,gender,migrant_status,education_group,employment_status
276785,Nairobi,-1,-1,Kawangware,25-34,Male,Migrant,Missing,Missing
276788,Nairobi,-1,-1,Kawangware,25-34,Male,Migrant,Missing,Missing
276802,Nairobi,-1,-1,Kawangware,25-34,Male,Migrant,Tertiary,Missing
276814,Nairobi,-1,-1,Kayole,25-34,Male,Migrant,Missing,Missing
276822,Nairobi,-1,-1,Kayole,25-34,Female,Migrant,Tertiary,Missing
276931,Nairobi,-1,-1,Kawangware,25-34,Male,Migrant,Missing,Missing
276932,Nairobi,-1,-1,Kawangware,25-34,Male,Migrant,Primary,Missing
276934,Nairobi,-1,-1,Kawangware,25-34,Male,Migrant,Missing,Missing
276935,Nairobi,-1,-1,Kawangware,35-44,Male,Migrant,Tertiary,Missing
277079,Nairobi,-1,-1,Kawangware,55+,Female,Migrant,Missing,Employed
277213,Nairobi,-1,-1,Kawangware,25-34,Male,Migrant,Primary,Missing
277290,Nairobi,-1,-1,Kawangware,25-34,Male,Non-migrant,Secondary,Employed
277291,Nairobi,-1,-1,Kawangware,25-34,Male,Migrant,Missing,Unemployed
277321,Nairobi,-1,-1,Kawangware,25-34,Male,Migrant,Secondary,Employed
277354,Nairobi,-1,-1,Kawangware,25-34,Male,Migrant,Secondary,Employed
277372,Nairobi,-1,-1,Kawangware,25-34,Female,Non-migrant,Primary,Unemployed
277374,Nairobi,-1,-1,Kawangware,25-34,Male,Non-migrant,Missing,Student
277415,Nairobi,-1,-1,Kawangware,18-24,Male,Migrant,Primary,Missing
277420,Nairobi,-1,-1,Kawangware,18-24,Female,Migrant,Primary,Missing
277424,Nairobi,-1,-1,Kawangware,18-24,Male,Migrant,Primary,Unemployed
277425,Nairobi,-1,-1,Kawangware,35-44,Male,Migrant,Secondary,Missing
277426,Nairobi,-1,-1,Kawangware,25-34,Female,Migrant,Tertiary,Missing
277444,Nairobi,-1,-1,Kawangware,35-44,Male,Migrant,Tertiary,Missing
277446,Nairobi,-1,-1,Kawangware,25-34,Male,Non-migrant,Secondary,Employed
277459,Nairobi,-1,-1,Kawangware,18-24,Female,Migrant,Tertiary,Unemployed
