geography_level,city,neighbourhood,variable,category,n,pct
overall,All,All,belong_here,Yes,1322,80.41
overall,All,All,belong_here,No,309,18.8
overall,All,All,belong_here,Missing,13,0.79
overall,All,All,perceived_outsider,No,1250,76.03
overall,All,All,perceived_outsider,Yes,361,21.96
overall,All,All,perceived_outsider,Don't know,20,1.22
overall,All,All,perceived_outsider,Missing,13,0.79
overall,All,All,trust_police,Yes,656,39.9
overall,All,All,trust_police,No,617,37.53
overall,All,All,trust_police,Mixed,318,19.34
overall,All,All,trust_police,Don't know,40,2.43
overall,All,All,trust_police,Missing,13,0.79
overall,All,All,trust_councillor,No,668,40.63
overall,All,All,trust_councillor,Yes,544,33.09
overall,All,All,trust_councillor,Mixed,248,15.09
overall,All,All,trust_councillor,Don't know,171,10.4
overall,All,All,trust_councillor,Missing,13,0.79
overall,All,All,trust_neighbours,Yes,885,53.83
overall,All,All,trust_neighbours,Mixed,450,27.37
overall,All,All,trust_neighbours,No,277,16.85
overall,All,All,trust_neighbours,Don't know,19,1.16
overall,All,All,trust_neighbours,Missing,13,0.79
overall,All,All,stay_or_go,Stay in neighbourhood,995,60.52
overall,All,All,stay_or_go,Move within country,343,20.86
overall,All,All,stay_or_go,Leave country,275,16.73
overall,All,All,stay_or_go,Missing,31,1.89
overall,All,All,medium_term_goal,Stay here,1197,72.81
overall,All,All,medium_term_goal,Move within city,139,8.45
overall,All,All,medium_term_goal,Don't know,119,7.24
overall,All,All,medium_term_goal,Return to origin community,55,3.35
overall,All,All,medium_term_goal,Move to third country,54,3.28
overall,All,All,medium_term_goal,Move within home country,43,2.62
overall,All,All,medium_term_goal,Missing,31,1.89
overall,All,All,medium_term_goal,Other,6,0.36
overall,All,All,long_term_goal,Stay here,638,38.81
overall,All,All,long_term_goal,Move within city,248,15.09
overall,All,All,long_term_goal,Move to third country,206,12.53
overall,All,All,long_term_goal,Don't know,188,11.44
overall,All,All,long_term_goal,Return to origin community,187,11.37
overall,All,All,long_term_goal,Move within home country,121,7.36
overall,All,All,long_term_goal,Missing,31,1.89
overall,All,All,long_term_goal,Other,25,1.52
city,Nairobi,All,belong_here,Yes,473,86.31
city,Nairobi,All,belong_here,No,65,11.86
city,Nairobi,All,belong_here,Missing,10,1.82
city,Accra,All,belong_here,Yes,436,75.04
city,Accra,All,belong_here,No,143,24.61
city,Accra,All,belong_here,Missing,2,0.34
city,Johannesburg,All,belong_here,Yes,413,80.19
city,Johannesburg,All,belong_here,No,101,19.61
city,Johannesburg,All,belong_here,Missing,1,0.19
city,Nairobi,All,perceived_outsider,No,442,80.66
city,Nairobi,All,perceived_outsider,Yes,89,16.24
city,Nairobi,All,perceived_outsider,Missing,10,1.82
city,Nairobi,All,perceived_outsider,Don't know,7,1.28
city,Accra,All,perceived_outsider,No,395,67.99
city,Accra,All,perceived_outsider,Yes,175,30.12
city,Accra,All,perceived_outsider,Don't know,9,1.55
