geography_level,city,neighbourhood,variable,category,n,denominator,share
overall,All,All,belong_here,Yes,1322,,0.8040999999999999
overall,All,All,belong_here,No,309,,0.188
overall,All,All,belong_here,Missing,13,,0.0079
overall,All,All,perceived_outsider,No,1250,,0.7603
overall,All,All,perceived_outsider,Yes,361,,0.21960000000000002
overall,All,All,perceived_outsider,Don't know,20,,0.012199999999999999
overall,All,All,perceived_outsider,Missing,13,,0.0079
overall,All,All,trust_police,Yes,656,,0.39899999999999997
overall,All,All,trust_police,No,617,,0.3753
overall,All,All,trust_police,Mixed,318,,0.1934
overall,All,All,trust_police,Don't know,40,,0.024300000000000002
overall,All,All,trust_police,Missing,13,,0.0079
overall,All,All,trust_councillor,No,668,,0.40630000000000005
overall,All,All,trust_councillor,Yes,544,,0.3309
overall,All,All,trust_councillor,Mixed,248,,0.1509
overall,All,All,trust_councillor,Don't know,171,,0.10400000000000001
overall,All,All,trust_councillor,Missing,13,,0.0079
overall,All,All,trust_neighbours,Yes,885,,0.5383
overall,All,All,trust_neighbours,Mixed,450,,0.2737
overall,All,All,trust_neighbours,No,277,,0.1685
overall,All,All,trust_neighbours,Don't know,19,,0.0116
overall,All,All,trust_neighbours,Missing,13,,0.0079
overall,All,All,stay_or_go,Stay in neighbourhood,995,,0.6052000000000001
overall,All,All,stay_or_go,Move within country,343,,0.2086
overall,All,All,stay_or_go,Leave country,275,,0.1673
overall,All,All,stay_or_go,Missing,31,,0.0189
overall,All,All,medium_term_goal,Stay here,1197,,0.7281
overall,All,All,medium_term_goal,Move within city,139,,0.08449999999999999
overall,All,All,medium_term_goal,Don't know,119,,0.0724
overall,All,All,medium_term_goal,Return to origin community,55,,0.0335
overall,All,All,medium_term_goal,Move to third country,54,,0.032799999999999996
overall,All,All,medium_term_goal,Move within home country,43,,0.0262
overall,All,All,medium_term_goal,Missing,31,,0.0189
overall,All,All,medium_term_goal,Other,6,,0.0036
overall,All,All,long_term_goal,Stay here,638,,0.3881
overall,All,All,long_term_goal,Move within city,248,,0.1509
overall,All,All,long_term_goal,Move to third country,206,,0.1253
overall,All,All,long_term_goal,Don't know,188,,0.1144
overall,All,All,long_term_goal,Return to origin community,187,,0.1137
overall,All,All,long_term_goal,Move within home country,121,,0.0736
overall,All,All,long_term_goal,Missing,31,,0.0189
overall,All,All,long_term_goal,Other,25,,0.0152
city,Nairobi,All,belong_here,Yes,473,,0.8631
city,Nairobi,All,belong_here,No,65,,0.1186
city,Nairobi,All,belong_here,Missing,10,,0.0182
city,Accra,All,belong_here,Yes,436,,0.7504000000000001
city,Accra,All,belong_here,No,143,,0.24609999999999999
city,Accra,All,belong_here,Missing,2,,0.0034000000000000002
city,Johannesburg,All,belong_here,Yes,413,,0.8019
city,Johannesburg,All,belong_here,No,101,,0.1961
city,Johannesburg,All,belong_here,Missing,1,,0.0019
