respondent_id,city,neighbourhood,migrant_status,age_group,country_of_origin,household_size_group,trust_police,trust_councillor,trust_mayor,trust_traditional_leaders,trust_local_people,trust_country_people_local,trust_neighbours,trust_service_providers,trust_religious_leaders,trust_other_religious_leaders,trust_business_people,trust_judges,belong_here,close_to_neighbours,neighbourhood_cares,future_in_neighbourhood,feel_supported,perceived_outsider,discrimination_gender,discrimination_religion,discrimination_ethnicity,discrimination_origin,discrimination_economic_status,discrimination_political,stay_or_go,plans_to_move_2_6_months,medium_term_goal,long_term_goal,moving_good_way_to_get_ahead
resp_0001,Nairobi,Kawangware,Born outside country,25–34,Kenya,4–5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resp_0002,Nairobi,Kawangware,Born outside country,25–34,Kenya,2–3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resp_0003,Nairobi,Kawangware,Born outside country,25–34,Kenya,2–3,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,Never,Never,Never,Never,Never,Once or twice,Move within country,No,Move within home country,Move within home country,No
resp_0004,Nairobi,Kayole,Born outside country,25–34,Kenya,4–5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resp_0005,Nairobi,Kayole,Born outside country,25–34,Kenya,1,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Never,Never,Never,Never,Never,Never,,,,,
resp_0006,Nairobi,Kawangware,Born outside country,25–34,Kenya,4–5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resp_0007,Nairobi,Kawangware,Born outside country,25–34,Kenya,4–5,Yes,Yes,Don't know,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Don't know,Yes,Yes,Yes,Yes,Yes,Yes,Never,Never,Never,Never,Once or twice,Once or twice,,,,,
resp_0008,Nairobi,Kawangware,Born outside country,25–34,Kenya,2–3,Yes,No,No,No,Yes,Yes,Yes,Yes,Don't know,Don't know,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,
resp_0009,Nairobi,Kawangware,Born outside country,35–44,Kenya,2–3,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Never,Never,Never,Never,Never,Once or twice,,,,,
resp_0010,Nairobi,Kawangware,Born outside country,,Kenya,2–3,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Never,Never,Once or twice,Never,Several times,Never,,,,,
resp_0011,Nairobi,Kawangware,Born outside country,25–34,Kenya,4–5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Never,Never,Not applicable,Never,Never,Never,,,,,
resp_0012,Nairobi,Kawangware,Born in country,25–34,Tanzania,2–3,Yes,No,Yes,Yes,Mixed,Mixed,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Never,Never,Never,Never,Never,Never,Move within country,No,Stay here,Move within home country,Yes
